goos: darwin
goarch: arm64
pkg: github.com/zhangyunhao116/gomapbench
cpu: Apple M1 Pro
BenchmarkMapIter/Int/6-10           	27202274	        45.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/24-10          	 7682532	       161.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/24-10          	 6745216	       158.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/30-10          	 5473783	       235.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/30-10          	 5958931	       231.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/30-10          	 5490243	       296.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/30-10          	 4769900	       224.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/30-10          	 5211946	       227.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/30-10          	 5182740	       230.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/30-10          	 5526999	       225.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/30-10          	 5054718	       236.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/30-10          	 4998243	       227.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/30-10          	 5157496	       261.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/64-10          	 2577512	       479.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/64-10          	 2534521	       449.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/64-10          	 2562556	       512.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/64-10          	 2178476	       498.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/64-10          	 2428011	       478.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/64-10          	 2641238	       441.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/64-10          	 2642078	       425.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/64-10          	 2684138	       424.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/64-10          	 2650744	       433.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/64-10          	 2503476	       497.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/128-10         	 1303569	       905.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/128-10         	 1320103	       866.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/128-10         	 1330986	       946.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/128-10         	 1287926	       898.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/128-10         	 1373876	      1066 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/128-10         	 1000000	      1028 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/128-10         	 1303429	       941.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/128-10         	 1278176	       922.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/128-10         	 1344634	       897.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/128-10         	 1338811	       912.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/256-10         	  727962	      1714 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/256-10         	  691546	      1734 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/256-10         	  687800	      1729 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/256-10         	  693338	      1776 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/256-10         	  711031	      1725 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/256-10         	  638556	      1706 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/256-10         	  656416	      1749 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/256-10         	  672348	      1826 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/256-10         	  682539	      1752 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/256-10         	  649434	      1767 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/512-10         	  338937	      3504 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/512-10         	  347856	      4056 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/512-10         	  234253	      4301 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/512-10         	  346232	      3949 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/512-10         	  354739	      3534 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/512-10         	  361658	      3924 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/512-10         	  342261	      3644 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/512-10         	  350664	      3911 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/512-10         	  346335	      3530 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/512-10         	  351783	      3317 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/1024-10        	  160872	      8988 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/1024-10        	  160626	      7517 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/1024-10        	  156848	      7385 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/1024-10        	  161876	      7465 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/1024-10        	  162140	      7484 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/1024-10        	  161048	      7979 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/1024-10        	  147686	      8879 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/1024-10        	  157040	      8122 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/1024-10        	  159362	      7730 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/1024-10        	  149274	      8248 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/2048-10        	   79886	     15449 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/2048-10        	   81042	     16181 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/2048-10        	   75956	     15363 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/2048-10        	   70920	     17054 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/2048-10        	   77956	     15334 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/2048-10        	   80904	     14848 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/2048-10        	   80302	     15257 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/2048-10        	   79747	     14993 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/2048-10        	   79171	     15031 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/2048-10        	   79218	     15319 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/4096-10        	   34293	     31905 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/4096-10        	   39188	     30359 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/4096-10        	   39217	     31820 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/4096-10        	   39432	     30436 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/4096-10        	   39546	     30254 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/4096-10        	   39331	     32747 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/4096-10        	   37028	     33913 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/4096-10        	   39588	     30172 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/4096-10        	   39853	     30018 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/4096-10        	   39697	     30258 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/8192-10        	   19953	     59857 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/8192-10        	   20011	     60957 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/8192-10        	   19556	     61978 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/8192-10        	   20083	     63738 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/8192-10        	   18952	     61344 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/8192-10        	   19857	     60165 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/8192-10        	   19844	     60598 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/8192-10        	   18477	     60754 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/8192-10        	   19740	     69021 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/8192-10        	   19490	     61120 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/65536-10       	    2476	    482802 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/65536-10       	    2490	    549802 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/65536-10       	    2472	    492601 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/65536-10       	    2457	    485202 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/65536-10       	    2475	    615699 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/65536-10       	    2420	    494159 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/65536-10       	    2474	    490979 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/65536-10       	    2386	    591670 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/65536-10       	    2463	    495005 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/65536-10       	    2396	    502195 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/6-10    	356046680	         3.409 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/6-10    	351682015	         3.395 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/6-10    	353112409	         3.515 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/6-10    	352878774	         3.409 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/6-10    	353046181	         3.408 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/6-10    	361501632	         3.404 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/6-10    	348067168	         3.456 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/6-10    	356954596	         3.380 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/6-10    	348072932	         3.413 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/6-10    	350964376	         3.429 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/12-10   	217577758	         5.539 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/12-10   	219224078	         5.397 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/12-10   	220639575	         5.435 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/12-10   	221325188	         6.946 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/12-10   	218640897	         5.380 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/12-10   	177711289	         6.680 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/12-10   	216512620	         5.576 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/12-10   	214784576	         5.570 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/12-10   	220702000	         5.548 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/12-10   	216174733	         6.781 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/18-10   	216583904	         5.570 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/18-10   	215117276	         5.465 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/18-10   	214125199	         6.238 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/18-10   	215231997	         5.564 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/18-10   	215841313	         5.470 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/18-10   	220591461	         5.513 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/18-10   	215309281	         6.641 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/18-10   	218778153	         5.547 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/18-10   	216261675	         5.454 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/18-10   	189649321	         5.517 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/24-10   	219014536	         6.957 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/24-10   	172750254	         6.822 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/24-10   	216046650	         6.902 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/24-10   	176066466	         6.765 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/24-10   	218599657	         5.476 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/24-10   	220095901	         5.493 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/24-10   	220961479	         6.759 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/24-10   	222071617	         6.892 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/24-10   	210462607	         5.525 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/24-10   	217450294	         5.600 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/30-10   	218162050	         5.469 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/30-10   	216957438	         5.506 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/30-10   	203153749	         5.573 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/30-10   	219523504	         5.526 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/30-10   	213768105	         5.501 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/30-10   	213140275	         5.607 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/30-10   	203328300	         5.508 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/30-10   	216241752	         5.545 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/30-10   	220101654	         5.542 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/30-10   	222043353	         5.412 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/64-10   	222225890	         5.757 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/64-10   	215120104	         5.580 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/64-10   	215256385	         5.428 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/64-10   	189092736	         6.504 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/64-10   	207097921	         6.117 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/64-10   	216176014	         5.568 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/64-10   	217275531	         5.560 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/64-10   	213200973	         5.566 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/64-10   	218866588	         5.479 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/64-10   	204387184	         6.222 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/128-10  	213992270	         5.685 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/128-10  	215945505	         5.876 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/128-10  	214948616	         5.700 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/128-10  	218434987	         5.956 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/128-10  	218730848	         6.289 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/128-10  	207583477	         6.281 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/128-10  	220881864	         6.986 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/128-10  	212079284	         5.977 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/128-10  	219792446	         5.689 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/128-10  	208022202	         5.809 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/256-10  	204445129	         5.586 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/256-10  	220841282	         5.462 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/256-10  	220088282	         5.803 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/256-10  	220320613	         5.807 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/256-10  	218399472	         5.495 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/256-10  	220772786	         5.968 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/256-10  	198650445	         5.423 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/256-10  	193268056	         6.163 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/256-10  	219864799	         5.489 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/256-10  	220892418	         5.458 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/512-10  	208297561	         5.999 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/512-10  	187887420	         5.652 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/512-10  	211535143	         6.566 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/512-10  	211991630	         7.608 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/512-10  	189954267	         6.007 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/512-10  	203563735	         9.174 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/512-10  	196320222	         5.697 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/512-10  	200461617	         5.815 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/512-10  	215920314	         5.756 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/512-10  	215610224	         5.567 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/1024-10 	206871078	         5.940 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/1024-10 	212139162	         5.887 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/1024-10 	194757729	         6.238 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/1024-10 	191661691	         5.850 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/1024-10 	193697577	         7.561 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/1024-10 	184489528	         6.247 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/1024-10 	206641056	         5.698 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/1024-10 	211202054	         5.844 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/1024-10 	210297402	         5.717 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/1024-10 	208725584	         5.743 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/2048-10 	184798168	         5.906 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/2048-10 	157737819	         7.659 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/2048-10 	192653287	         6.284 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/2048-10 	172268842	         7.224 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/2048-10 	195365614	         5.843 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/2048-10 	205282063	         7.823 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/2048-10 	197833828	         5.909 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/2048-10 	195351382	         6.394 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/2048-10 	202049965	         7.349 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/2048-10 	207000944	         5.977 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/4096-10 	199750214	         5.974 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/4096-10 	205635306	         6.229 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/4096-10 	193667424	         5.932 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/4096-10 	200239369	         6.003 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/4096-10 	200283915	         6.048 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/4096-10 	200112702	         5.869 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/4096-10 	201777632	         6.185 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/4096-10 	175902729	         5.992 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/4096-10 	181738189	         6.195 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/4096-10 	198453974	         6.445 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/8192-10 	187620230	         6.676 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/8192-10 	167123616	         6.617 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/8192-10 	182196619	         6.585 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/8192-10 	184580266	         6.496 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/8192-10 	183401968	         6.600 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/8192-10 	186797853	         6.527 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/8192-10 	184565670	         6.709 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/8192-10 	182076870	         6.531 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/8192-10 	182331645	         6.541 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapAccessHit/Int64/8192-10 	183081675	         6.523 ns/op	       0 B/op	       0 allocs/op
